,checkpoint,model,seed,shuffle_utterances,augment_frames,multiple_frames,cnn,eval_type,eval_dataset,stage,trial_idx,categories,logits,pred,correct,target_category,config,filtered
10,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,10,"['ball', 'kitchen', 'table', 'hand']","[0.25619104504585266, 0.23954127728939056, 0.07814837247133255, 0.426119327545166]",3,False,ball,contrastive_transformer_embedding,False
11,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,11,"['ball', 'table', 'chair', 'ground']","[0.9410538673400879, 0.0030959765426814556, 0.01499647181481123, 0.04085367172956467]",0,True,ball,contrastive_transformer_embedding,False
12,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,12,"['ball', 'stairs', 'chair', 'foot']","[0.5221770405769348, 0.2498248666524887, 0.13774903118610382, 0.09024912118911743]",0,True,ball,contrastive_transformer_embedding,False
13,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,13,"['ball', 'sand', 'ground', 'crib']","[0.9473729729652405, 0.0016312231309711933, 0.021856965497136116, 0.029138823971152306]",0,True,ball,contrastive_transformer_embedding,False
14,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,14,"['ball', 'ground', 'basket', 'hand']","[0.026714246720075607, 0.0010414818534627557, 0.6831837892532349, 0.2890605032444]",2,False,ball,contrastive_transformer_embedding,False
15,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,15,"['ball', 'puzzle', 'road', 'ground']","[0.9047699570655823, 0.01998627372086048, 0.038410551846027374, 0.036833181977272034]",0,True,ball,contrastive_transformer_embedding,False
16,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,16,"['ball', 'sand', 'puzzle', 'ground']","[0.4743514657020569, 0.19230054318904877, 0.03431162238121033, 0.29903632402420044]",0,True,ball,contrastive_transformer_embedding,False
17,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,17,"['ball', 'computer', 'door', 'car']","[0.9371775388717651, 0.005609361920505762, 0.03284487500786781, 0.024368150159716606]",0,True,ball,contrastive_transformer_embedding,False
18,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,18,"['ball', 'ground', 'puzzle', 'hand']","[0.899707555770874, 0.03224349766969681, 0.004680222366005182, 0.06336868554353714]",0,True,ball,contrastive_transformer_embedding,False
19,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,19,"['ball', 'table', 'stairs', 'basket']","[0.953408420085907, 0.002976026153191924, 0.004335253499448299, 0.039280232042074203]",0,True,ball,contrastive_transformer_embedding,False
20,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,20,"['ball', 'crib', 'stairs', 'door']","[0.4657343626022339, 0.3358042240142822, 0.1670062094926834, 0.031455256044864655]",0,True,ball,contrastive_transformer_embedding,False
21,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,21,"['ball', 'stairs', 'car', 'toy']","[0.5508348941802979, 0.07067148387432098, 0.019015051424503326, 0.359478622674942]",0,True,ball,contrastive_transformer_embedding,False
22,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,22,"['ball', 'kitchen', 'door', 'computer']","[0.9642728567123413, 0.003428109921514988, 0.02641800232231617, 0.005881075281649828]",0,True,ball,contrastive_transformer_embedding,False
23,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,23,"['ball', 'cat', 'kitchen', 'window']","[0.22288823127746582, 0.3797202408313751, 0.03127269819378853, 0.3661188781261444]",1,False,ball,contrastive_transformer_embedding,False
24,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,24,"['ball', 'stairs', 'car', 'basket']","[0.32574594020843506, 0.15395423769950867, 0.05495046079158783, 0.46534934639930725]",3,False,ball,contrastive_transformer_embedding,False
25,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,25,"['ball', 'basket', 'window', 'foot']","[0.04923586547374725, 0.9045161008834839, 0.04343670234084129, 0.00281132641248405]",1,False,ball,contrastive_transformer_embedding,False
26,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,26,"['ball', 'toy', 'stairs', 'table']","[0.8861727714538574, 0.0027374259661883116, 0.0842166543006897, 0.02687319926917553]",0,True,ball,contrastive_transformer_embedding,False
27,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,27,"['ball', 'puzzle', 'basket', 'chair']","[0.956588089466095, 0.013048313558101654, 0.017293553799390793, 0.01307007111608982]",0,True,ball,contrastive_transformer_embedding,False
28,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,28,"['ball', 'car', 'table', 'foot']","[0.8693596720695496, 0.013021852821111679, 0.010585141368210316, 0.10703334957361221]",0,True,ball,contrastive_transformer_embedding,False
29,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,29,"['ball', 'window', 'door', 'cat']","[0.4359622299671173, 0.3459571897983551, 0.19513171911239624, 0.022948913276195526]",0,True,ball,contrastive_transformer_embedding,False
30,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,30,"['ball', 'computer', 'ground', 'cat']","[0.9227447509765625, 0.006141955964267254, 0.008810934610664845, 0.06230226159095764]",0,True,ball,contrastive_transformer_embedding,False
31,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,31,"['ball', 'foot', 'basket', 'window']","[0.09379960596561432, 0.02935069426894188, 0.7093895673751831, 0.16746015846729279]",2,False,ball,contrastive_transformer_embedding,False
32,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,32,"['ball', 'kitchen', 'road', 'foot']","[0.704762876033783, 0.20048584043979645, 0.08721689879894257, 0.007534408010542393]",0,True,ball,contrastive_transformer_embedding,False
33,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,33,"['ball', 'sand', 'road', 'hand']","[0.6020644903182983, 0.041414398699998856, 0.1483485847711563, 0.2081725299358368]",0,True,ball,contrastive_transformer_embedding,False
34,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,34,"['ball', 'window', 'car', 'ground']","[0.9706724882125854, 0.017367418855428696, 0.0017526583978906274, 0.01020742766559124]",0,True,ball,contrastive_transformer_embedding,False
35,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,35,"['ball', 'table', 'basket', 'foot']","[0.08525920659303665, 0.014760984107851982, 0.8572232127189636, 0.042756613343954086]",2,False,ball,contrastive_transformer_embedding,False
36,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,36,"['ball', 'floor', 'crib', 'hand']","[0.2620840072631836, 0.6808894276618958, 0.048414092510938644, 0.008612440899014473]",1,False,ball,contrastive_transformer_embedding,False
37,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,37,"['ball', 'chair', 'car', 'sand']","[0.22559869289398193, 0.756391704082489, 0.010855874046683311, 0.007153723854571581]",1,False,ball,contrastive_transformer_embedding,False
38,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,38,"['ball', 'computer', 'car', 'foot']","[0.42655935883522034, 0.04809139296412468, 0.01937180571258068, 0.5059774518013]",3,False,ball,contrastive_transformer_embedding,False
39,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,39,"['ball', 'car', 'table', 'door']","[0.8088014721870422, 0.1093655377626419, 0.0405566543340683, 0.041276346892118454]",0,True,ball,contrastive_transformer_embedding,False
40,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,40,"['ball', 'door', 'road', 'stairs']","[0.2564401924610138, 0.3104653060436249, 0.34421953558921814, 0.08887498825788498]",2,False,ball,contrastive_transformer_embedding,False
41,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,41,"['ball', 'ground', 'door', 'cat']","[0.2534777820110321, 0.005943995900452137, 0.02668413333594799, 0.7138940691947937]",3,False,ball,contrastive_transformer_embedding,False
42,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,42,"['ball', 'sand', 'kitchen', 'stairs']","[0.9617491364479065, 0.028453204780817032, 0.0011626575142145157, 0.008634920231997967]",0,True,ball,contrastive_transformer_embedding,False
43,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,43,"['ball', 'paper', 'table', 'road']","[0.9839951395988464, 0.0029241577722132206, 0.004249684978276491, 0.00883091613650322]",0,True,ball,contrastive_transformer_embedding,False
44,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,44,"['ball', 'door', 'floor', 'foot']","[0.9471728801727295, 0.014318941161036491, 0.01841749995946884, 0.020090719684958458]",0,True,ball,contrastive_transformer_embedding,False
45,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,45,"['ball', 'ground', 'sand', 'door']","[0.9972785115242004, 0.0008143994491547346, 0.00014251022366806865, 0.0017645879415795207]",0,True,ball,contrastive_transformer_embedding,False
46,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,46,"['ball', 'road', 'puzzle', 'toy']","[0.8044718503952026, 0.0036685853265225887, 0.005868521519005299, 0.18599094450473785]",0,True,ball,contrastive_transformer_embedding,False
47,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,47,"['ball', 'puzzle', 'basket', 'ground']","[0.18624654412269592, 0.006351824849843979, 0.3929813802242279, 0.4144202172756195]",3,False,ball,contrastive_transformer_embedding,False
48,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,48,"['ball', 'crib', 'sand', 'window']","[0.5236403942108154, 0.049021750688552856, 0.008867324329912663, 0.41847050189971924]",0,True,ball,contrastive_transformer_embedding,False
49,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,49,"['ball', 'cat', 'door', 'room']","[0.7210565209388733, 0.017315739765763283, 0.010880195535719395, 0.25074753165245056]",0,True,ball,contrastive_transformer_embedding,False
50,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,50,"['ball', 'ground', 'kitchen', 'puzzle']","[0.8993802070617676, 0.07165652513504028, 0.01741165854036808, 0.01155167818069458]",0,True,ball,contrastive_transformer_embedding,False
51,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,51,"['ball', 'crib', 'window', 'computer']","[0.9672256708145142, 0.01874011941254139, 0.005779435392469168, 0.008254795335233212]",0,True,ball,contrastive_transformer_embedding,False
52,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,52,"['ball', 'road', 'door', 'floor']","[0.5539814233779907, 0.13179746270179749, 0.16324515640735626, 0.15097594261169434]",0,True,ball,contrastive_transformer_embedding,False
53,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,53,"['ball', 'toy', 'ground', 'floor']","[0.3991736173629761, 0.16409271955490112, 0.07797465473413467, 0.3587590157985687]",0,True,ball,contrastive_transformer_embedding,False
54,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,54,"['ball', 'window', 'floor', 'door']","[0.48785102367401123, 0.0088539132848382, 0.4828011691570282, 0.02049390599131584]",0,True,ball,contrastive_transformer_embedding,False
55,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,55,"['ball', 'ground', 'toy', 'sand']","[0.9550001621246338, 0.006220613140612841, 0.0004264848248567432, 0.038352739065885544]",0,True,ball,contrastive_transformer_embedding,False
56,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,56,"['ball', 'computer', 'paper', 'hand']","[0.9917466640472412, 0.00483646709471941, 0.0012262247037142515, 0.00219061691313982]",0,True,ball,contrastive_transformer_embedding,False
57,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,57,"['ball', 'car', 'hand', 'door']","[0.7355681657791138, 0.0026160667184740305, 0.26124486327171326, 0.0005708911339752376]",0,True,ball,contrastive_transformer_embedding,False
58,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,58,"['ball', 'table', 'sand', 'cat']","[0.29043295979499817, 0.0028150652069598436, 0.0004730036307591945, 0.7062789797782898]",3,False,ball,contrastive_transformer_embedding,False
59,multimodal_vit_dino_True_text_encoder_transformer_embedding_dim_512_batch_size_8_dropout_i_0.5_pos_embed_type_learned_fix_temperature_True_lr_0.0001_lr_scheduler_True_weight_decay_0.1_max_epochs_400_seed_0,transformer,0,False,True,True,frozen_pretrained,image,saycam,test,59,"['ball', 'basket', 'door', 'crib']","[0.9379597902297974, 0.049215588718652725, 0.0035557113587856293, 0.009268943220376968]",0,True,ball,contrastive_transformer_embedding,False
